p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR,p2_SIG_STR,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TOTAL_STR,p2_TOTAL_STR,p1_TD,p2_TD,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR,p2_R1_SIG_STR,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TOTAL_STR,p2_R1_TOTAL_STR,p1_R1_TD,p2_R1_TD,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_LANDED_ATTEMPTED,p2_SIG_STR_LANDED_ATTEMPTED,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_HEAD_LANDED_ATTEMPTED,p2_HEAD_LANDED_ATTEMPTED,p1_BODY_LANDED_ATTEMPTED,p2_BODY_LANDED_ATTEMPTED,p1_LEG_LANDED_ATTEMPTED,p2_LEG_LANDED_ATTEMPTED,p1_DISTANCE_LANDED_ATTEMPTED,p2_DISTANCE_LANDED_ATTEMPTED,p1_CLINCH_LANDED_ATTEMPTED,p2_CLINCH_LANDED_ATTEMPTED,p1_GROUND_LANDED_ATTEMPTED,p2_GROUND_LANDED_ATTEMPTED,p1_R1_SIG_STR_LANDED_ATTEMPTED,p2_R1_SIG_STR_LANDED_ATTEMPTED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,p1_R1_HEAD_LANDED_ATTEMPTED,p2_R1_HEAD_LANDED_ATTEMPTED,p1_R1_BODY_LANDED_ATTEMPTED,p2_R1_BODY_LANDED_ATTEMPTED,p1_R1_LEG_LANDED_ATTEMPTED,p2_R1_LEG_LANDED_ATTEMPTED,p1_R1_DISTANCE_LANDED_ATTEMPTED,p2_R1_DISTANCE_LANDED_ATTEMPTED,p1_R1_CLINCH_LANDED_ATTEMPTED,p2_R1_CLINCH_LANDED_ATTEMPTED,p1_R1_GROUND_LANDED_ATTEMPTED,p2_R1_GROUND_LANDED_ATTEMPTED,method,referee,winner,event_date
Alan Patrick,Garett Whiteley,1,0,16 of 35,7 of 28,45%,25%,19 of 42,15 of 36,1 of 2,0 of 1,50%,0%,0,0,0,0,0:53,0:05,1,0,16 of 35,7 of 28,45%,25%,19 of 42,15 of 36,1 of 2,0 of 1,50%,0%,0,0,0,0,0:53,0:05,16 of 35,7 of 28,45%,25%,13 of 26,3 of 23,0 of 6,3 of 4,3 of 3,1 of 1,8 of 25,4 of 21,3 of 5,3 of 7,5 of 5,0 of 0,16 of 35,7 of 28,45%,25%,13 of 26,3 of 23,0 of 6,3 of 4,3 of 3,1 of 1,8 of 25,4 of 21,3 of 5,3 of 7,5 of 5,0 of 0,KO/TKO,Marc Goddard,1,"October 09, 2013"
Jon Jones,Alexander Gustafsson,0,0,134 of 217,110 of 288,61%,38%,137 of 220,114 of 294,1 of 11,1 of 8,9%,12%,0,0,0,0,0:59,0:19,0,0,28 of 39,19 of 48,71%,39%,28 of 39,19 of 48,0 of 3,1 of 1,0%,100%,0,0,0,0,0:05,0:12,134 of 217,110 of 288,61%,38%,53 of 115,63 of 204,28 of 37,33 of 65,53 of 65,14 of 19,127 of 208,108 of 283,7 of 9,2 of 5,0 of 0,0 of 0,28 of 39,19 of 48,71%,39%,5 of 12,8 of 30,8 of 9,4 of 11,15 of 18,7 of 7,27 of 38,19 of 47,1 of 1,0 of 1,0 of 0,0 of 0,Decision - Unanimous,John McCarthy,1,"September 21, 2013"
Renan Barao,Eddie Wineland,1,0,28 of 45,11 of 53,62%,20%,29 of 46,11 of 53,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:19,0,0,21 of 33,10 of 46,63%,21%,22 of 34,10 of 46,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:19,28 of 45,11 of 53,62%,20%,16 of 33,5 of 43,5 of 5,4 of 7,7 of 7,2 of 3,25 of 41,11 of 53,0 of 0,0 of 0,3 of 4,0 of 0,21 of 33,10 of 46,63%,21%,10 of 22,5 of 37,4 of 4,3 of 6,7 of 7,2 of 3,21 of 33,10 of 46,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,Yves Lavigne,1,"September 21, 2013"
Brendan Schaub,Matt Mitrione,0,0,14 of 30,7 of 11,46%,63%,14 of 31,7 of 11,1 of 1,0 of 0,100%,---,1,0,0,0,0:53,0:00,0,0,14 of 30,7 of 11,46%,63%,14 of 31,7 of 11,1 of 1,0 of 0,100%,---,1,0,0,0,0:53,0:00,14 of 30,7 of 11,46%,63%,13 of 29,4 of 8,1 of 1,1 of 1,0 of 0,2 of 2,14 of 30,7 of 11,0 of 0,0 of 0,0 of 0,0 of 0,14 of 30,7 of 11,46%,63%,13 of 29,4 of 8,1 of 1,1 of 1,0 of 0,2 of 2,14 of 30,7 of 11,0 of 0,0 of 0,0 of 0,0 of 0,Submission,Dan Miragliotta,1,"September 21, 2013"
Constantinos Philippou,Francis Carmont,0,0,7 of 25,29 of 64,28%,45%,15 of 34,89 of 134,0 of 0,5 of 5,---,100%,0,0,0,0,0:00,12:30,0,0,2 of 7,7 of 19,28%,36%,7 of 13,25 of 41,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,4:24,7 of 25,29 of 64,28%,45%,2 of 19,19 of 54,1 of 1,8 of 8,4 of 5,2 of 2,7 of 25,8 of 30,0 of 0,0 of 0,0 of 0,21 of 34,2 of 7,7 of 19,28%,36%,0 of 5,3 of 15,0 of 0,2 of 2,2 of 2,2 of 2,2 of 7,4 of 13,0 of 0,0 of 0,0 of 0,3 of 6,Decision - Unanimous,John McCarthy,0,"September 21, 2013"
Pat Healy,Khabib Nurmagomedov,0,0,44 of 157,54 of 130,28%,41%,68 of 189,90 of 169,0 of 2,5 of 11,0%,45%,0,0,0,0,0:06,6:31,0,0,19 of 76,29 of 70,25%,41%,22 of 82,30 of 71,0 of 1,1 of 3,0%,33%,0,0,0,0,0:01,0:25,44 of 157,54 of 130,28%,41%,27 of 131,40 of 115,12 of 21,9 of 10,5 of 5,5 of 5,42 of 155,44 of 111,2 of 2,2 of 7,0 of 0,8 of 12,19 of 76,29 of 70,25%,41%,10 of 62,22 of 63,6 of 11,4 of 4,3 of 3,3 of 3,19 of 76,28 of 69,0 of 0,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Yves Lavigne,0,"September 21, 2013"
Mike Ricci,Myles Jury,0,0,25 of 98,22 of 72,25%,30%,31 of 105,29 of 84,0 of 0,4 of 6,---,66%,0,0,2,1,0:46,5:51,0,0,11 of 35,6 of 20,31%,30%,12 of 36,6 of 20,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,1:54,25 of 98,22 of 72,25%,30%,13 of 73,8 of 52,8 of 19,2 of 7,4 of 6,12 of 13,14 of 84,20 of 70,1 of 2,2 of 2,10 of 12,0 of 0,11 of 35,6 of 20,31%,30%,6 of 25,2 of 13,3 of 8,0 of 2,2 of 2,4 of 5,5 of 29,6 of 20,0 of 0,0 of 0,6 of 6,0 of 0,Decision - Split,John McCarthy,0,"September 21, 2013"
Ivan Menjivar,Wilson Reis,0,0,29 of 62,33 of 96,46%,34%,86 of 123,78 of 150,0 of 0,4 of 6,---,66%,0,0,0,0,0:00,7:03,0,0,15 of 35,13 of 46,42%,28%,38 of 59,17 of 53,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:43,29 of 62,33 of 96,46%,34%,8 of 29,12 of 72,13 of 20,6 of 8,8 of 13,15 of 16,18 of 49,14 of 66,7 of 7,7 of 9,4 of 6,12 of 21,15 of 35,13 of 46,42%,28%,3 of 13,6 of 38,8 of 14,1 of 2,4 of 8,6 of 6,10 of 30,7 of 38,5 of 5,4 of 5,0 of 0,2 of 3,Decision - Unanimous,Yves Lavigne,0,"September 21, 2013"
Chris Clements,Stephen Thompson,0,2,17 of 43,23 of 39,39%,58%,25 of 51,36 of 53,0 of 0,2 of 2,---,100%,0,0,0,0,0:12,2:34,0,0,16 of 34,11 of 23,47%,47%,19 of 37,21 of 34,0 of 0,2 of 2,---,100%,0,0,0,0,0:12,2:00,17 of 43,23 of 39,39%,58%,0 of 21,14 of 28,6 of 10,5 of 7,11 of 12,4 of 4,13 of 35,20 of 33,4 of 7,1 of 1,0 of 1,2 of 5,16 of 34,11 of 23,47%,47%,0 of 14,4 of 14,6 of 9,5 of 7,10 of 11,2 of 2,12 of 27,10 of 21,4 of 7,1 of 1,0 of 0,0 of 1,KO/TKO,John McCarthy,0,"September 21, 2013"
Mitch Gagnon,Dustin Kimura,0,0,27 of 57,15 of 44,47%,34%,27 of 58,15 of 44,1 of 2,0 of 0,50%,---,1,1,0,0,0:41,0:11,0,0,27 of 57,15 of 44,47%,34%,27 of 58,15 of 44,1 of 2,0 of 0,50%,---,1,1,0,0,0:41,0:11,27 of 57,15 of 44,47%,34%,18 of 44,3 of 30,5 of 9,6 of 6,4 of 4,6 of 8,20 of 48,14 of 43,5 of 6,1 of 1,2 of 3,0 of 0,27 of 57,15 of 44,47%,34%,18 of 44,3 of 30,5 of 9,6 of 6,4 of 4,6 of 8,20 of 48,14 of 43,5 of 6,1 of 1,2 of 3,0 of 0,Submission,Yves Lavigne,1,"September 21, 2013"
John Makdessi,Renee Forte,1,0,20 of 39,7 of 27,51%,25%,20 of 39,7 of 27,0 of 0,0 of 0,---,---,0,0,0,0,0:08,0:00,1,0,20 of 39,7 of 27,51%,25%,20 of 39,7 of 27,0 of 0,0 of 0,---,---,0,0,0,0,0:08,0:00,20 of 39,7 of 27,51%,25%,11 of 26,3 of 21,5 of 7,2 of 4,4 of 6,2 of 2,11 of 23,7 of 27,0 of 0,0 of 0,9 of 16,0 of 0,20 of 39,7 of 27,51%,25%,11 of 26,3 of 21,5 of 7,2 of 4,4 of 6,2 of 2,11 of 23,7 of 27,0 of 0,0 of 0,9 of 16,0 of 0,KO/TKO,Todd Ronald Anderson,1,"September 21, 2013"
Michel Prazeres,Jesse Ronson,0,0,19 of 43,38 of 73,44%,52%,50 of 77,41 of 76,7 of 15,1 of 1,46%,100%,0,0,0,0,8:36,0:46,0,0,3 of 5,0 of 4,60%,0%,18 of 22,0 of 4,3 of 4,0 of 0,75%,---,0,0,0,0,4:20,0:00,19 of 43,38 of 73,44%,52%,16 of 38,15 of 46,1 of 3,10 of 14,2 of 2,13 of 13,14 of 36,27 of 58,2 of 4,3 of 4,3 of 3,8 of 11,3 of 5,0 of 4,60%,0%,2 of 3,0 of 3,0 of 1,0 of 1,1 of 1,0 of 0,1 of 3,0 of 4,0 of 0,0 of 0,2 of 2,0 of 0,Decision - Split,Yves Lavigne,1,"September 21, 2013"
Roland Delorme,Alex Caceres,1,0,47 of 115,106 of 162,40%,65%,70 of 140,116 of 174,1 of 9,0 of 0,11%,---,1,0,1,2,1:43,4:24,1,0,13 of 31,25 of 38,41%,65%,30 of 50,27 of 40,0 of 1,0 of 0,0%,---,1,0,1,2,0:00,3:15,47 of 115,106 of 162,40%,65%,26 of 84,82 of 138,17 of 27,9 of 9,4 of 4,15 of 15,38 of 106,93 of 148,3 of 3,9 of 10,6 of 6,4 of 4,13 of 31,25 of 38,41%,65%,10 of 25,20 of 33,2 of 5,2 of 2,1 of 1,3 of 3,7 of 25,22 of 35,0 of 0,1 of 1,6 of 6,2 of 2,Decision - Split,Todd Ronald Anderson,0,"September 21, 2013"
Nandor Guelmino,Daniel Omielanczuk,0,1,56 of 99,49 of 73,56%,67%,75 of 123,57 of 82,0 of 3,2 of 5,0%,40%,0,1,0,0,3:48,4:22,0,0,25 of 47,22 of 36,53%,61%,29 of 51,25 of 40,0 of 1,0 of 3,0%,0%,0,0,0,0,0:09,2:19,56 of 99,49 of 73,56%,67%,16 of 48,22 of 41,29 of 39,7 of 10,11 of 12,20 of 22,29 of 68,28 of 50,17 of 19,18 of 19,10 of 12,3 of 4,25 of 47,22 of 36,53%,61%,3 of 20,5 of 16,14 of 19,4 of 6,8 of 8,13 of 14,14 of 35,10 of 23,11 of 12,12 of 13,0 of 0,0 of 0,KO/TKO,Dan Miragliotta,0,"September 21, 2013"
Glover Teixeira,Ryan Bader,1,0,14 of 24,11 of 27,58%,40%,20 of 30,16 of 32,1 of 4,0 of 1,25%,0%,0,1,0,0,0:51,0:38,1,0,14 of 24,11 of 27,58%,40%,20 of 30,16 of 32,1 of 4,0 of 1,25%,0%,0,1,0,0,0:51,0:38,14 of 24,11 of 27,58%,40%,13 of 23,9 of 25,1 of 1,0 of 0,0 of 0,2 of 2,4 of 11,5 of 16,1 of 1,6 of 11,9 of 12,0 of 0,14 of 24,11 of 27,58%,40%,13 of 23,9 of 25,1 of 1,0 of 0,0 of 0,2 of 2,4 of 11,5 of 16,1 of 1,6 of 11,9 of 12,0 of 0,KO/TKO,Herb Dean,1,"September 04, 2013"
Yushin Okami,Jacare Souza,0,1,1 of 11,28 of 48,9%,58%,1 of 11,29 of 49,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:27,0,1,1 of 11,28 of 48,9%,58%,1 of 11,29 of 49,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:27,1 of 11,28 of 48,9%,58%,1 of 10,25 of 43,0 of 1,2 of 4,0 of 0,1 of 1,1 of 11,7 of 13,0 of 0,11 of 25,0 of 0,10 of 10,1 of 11,28 of 48,9%,58%,1 of 10,25 of 43,0 of 1,2 of 4,0 of 0,1 of 1,1 of 11,7 of 13,0 of 0,11 of 25,0 of 0,10 of 10,KO/TKO,Leon Roberts,0,"September 04, 2013"
Joseph Benavidez,Jussier Formiga,1,0,20 of 52,6 of 18,38%,33%,20 of 52,6 of 18,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:00,1,0,20 of 52,6 of 18,38%,33%,20 of 52,6 of 18,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:00,20 of 52,6 of 18,38%,33%,13 of 40,5 of 15,4 of 7,1 of 3,3 of 5,0 of 0,16 of 46,5 of 17,0 of 2,1 of 1,4 of 4,0 of 0,20 of 52,6 of 18,38%,33%,13 of 40,5 of 15,4 of 7,1 of 3,3 of 5,0 of 0,16 of 46,5 of 17,0 of 2,1 of 1,4 of 4,0 of 0,KO/TKO,Mario Yamasaki,1,"September 04, 2013"
Francisco Trinaldo,Piotr Hallmann,1,0,22 of 43,42 of 87,51%,48%,24 of 46,62 of 112,1 of 4,2 of 2,25%,100%,0,1,0,0,1:42,2:27,1,0,21 of 40,21 of 61,52%,34%,23 of 43,21 of 61,1 of 1,0 of 0,100%,---,0,0,0,0,0:50,0:04,22 of 43,42 of 87,51%,48%,11 of 27,32 of 72,8 of 13,5 of 8,3 of 3,5 of 7,22 of 43,22 of 65,0 of 0,9 of 9,0 of 0,11 of 13,21 of 40,21 of 61,52%,34%,11 of 25,12 of 47,8 of 13,5 of 8,2 of 2,4 of 6,21 of 40,20 of 60,0 of 0,1 of 1,0 of 0,0 of 0,Submission,Neil Hall,0,"September 04, 2013"
Rafael Natal,Tor Troeng,2,0,39 of 62,9 of 17,62%,52%,57 of 81,54 of 66,0 of 2,0 of 1,0%,0%,1,0,1,3,8:04,5:05,1,0,9 of 12,4 of 8,75%,50%,21 of 24,10 of 14,0 of 0,0 of 0,---,---,0,0,1,2,2:48,1:38,39 of 62,9 of 17,62%,52%,29 of 51,6 of 14,5 of 6,2 of 2,5 of 5,1 of 1,7 of 15,3 of 10,1 of 1,2 of 2,31 of 46,4 of 5,9 of 12,4 of 8,75%,50%,4 of 7,3 of 7,2 of 2,1 of 1,3 of 3,0 of 0,4 of 6,1 of 5,0 of 0,0 of 0,5 of 6,3 of 3,Decision - Unanimous,Leon Roberts,1,"September 04, 2013"
Marcos Vinicius,Ali Bagautinov,0,2,27 of 47,38 of 68,57%,55%,45 of 68,46 of 78,0 of 0,3 of 5,---,60%,0,1,0,0,2:41,4:06,0,1,8 of 10,22 of 34,80%,64%,19 of 23,25 of 38,0 of 0,0 of 1,---,0%,0,1,0,0,2:41,1:17,27 of 47,38 of 68,57%,55%,12 of 28,29 of 56,7 of 8,5 of 7,8 of 11,4 of 5,11 of 30,12 of 34,7 of 7,7 of 7,9 of 10,19 of 27,8 of 10,22 of 34,80%,64%,6 of 7,17 of 28,2 of 2,2 of 3,0 of 1,3 of 3,0 of 2,0 of 4,2 of 2,7 of 7,6 of 6,15 of 23,KO/TKO,Mario Yamasaki,0,"September 04, 2013"
Felipe Arantes,Edimilson Souza,0,0,35 of 78,52 of 136,44%,38%,68 of 117,75 of 164,3 of 5,0 of 0,60%,---,1,0,0,0,5:09,0:00,0,0,8 of 20,12 of 41,40%,29%,27 of 42,12 of 41,1 of 1,0 of 0,100%,---,1,0,0,0,2:01,0:00,35 of 78,52 of 136,44%,38%,13 of 50,33 of 97,14 of 19,18 of 37,8 of 9,1 of 2,23 of 61,45 of 123,2 of 4,6 of 12,10 of 13,1 of 1,8 of 20,12 of 41,40%,29%,5 of 16,7 of 29,2 of 2,5 of 12,1 of 2,0 of 0,5 of 16,12 of 39,0 of 0,0 of 2,3 of 4,0 of 0,Decision - Split,Neil Hall,0,"September 04, 2013"
Lucas Martins,Ramiro Hernandez,1,0,10 of 20,4 of 10,50%,40%,10 of 20,6 of 13,0 of 0,0 of 0,---,---,1,0,0,0,0:26,0:00,1,0,10 of 20,4 of 10,50%,40%,10 of 20,6 of 13,0 of 0,0 of 0,---,---,1,0,0,0,0:26,0:00,10 of 20,4 of 10,50%,40%,6 of 16,2 of 7,1 of 1,1 of 2,3 of 3,1 of 1,9 of 18,4 of 10,0 of 0,0 of 0,1 of 2,0 of 0,10 of 20,4 of 10,50%,40%,6 of 16,2 of 7,1 of 1,1 of 2,3 of 3,1 of 1,9 of 18,4 of 10,0 of 0,0 of 0,1 of 2,0 of 0,Submission,Herb Dean,1,"September 04, 2013"
Joao Zeferino,Elias Silverio,0,0,11 of 28,49 of 84,39%,58%,20 of 37,130 of 178,1 of 16,1 of 2,6%,50%,0,0,0,0,6:07,4:40,0,0,3 of 12,18 of 33,25%,54%,4 of 13,40 of 55,0 of 7,0 of 0,0%,---,0,0,0,0,2:50,0:30,11 of 28,49 of 84,39%,58%,6 of 21,18 of 40,4 of 5,24 of 32,1 of 2,7 of 12,6 of 22,24 of 50,3 of 4,15 of 19,2 of 2,10 of 15,3 of 12,18 of 33,25%,54%,2 of 10,3 of 11,1 of 1,10 of 15,0 of 1,5 of 7,2 of 11,11 of 25,1 of 1,6 of 7,0 of 0,1 of 1,Decision - Unanimous,Leon Roberts,0,"September 04, 2013"
Keith Wisniewski,Ivan Jorge,0,0,42 of 78,69 of 94,53%,73%,66 of 103,87 of 116,0 of 1,2 of 10,0%,20%,0,0,0,0,0:39,7:05,0,0,14 of 31,19 of 32,45%,59%,19 of 36,21 of 35,0 of 1,0 of 5,0%,0%,0,0,0,0,0:00,1:10,42 of 78,69 of 94,53%,73%,24 of 58,8 of 19,17 of 19,39 of 49,1 of 1,22 of 26,14 of 47,27 of 45,28 of 31,42 of 49,0 of 0,0 of 0,14 of 31,19 of 32,45%,59%,7 of 23,2 of 8,7 of 8,7 of 12,0 of 0,10 of 12,3 of 18,13 of 25,11 of 13,6 of 7,0 of 0,0 of 0,Decision - Unanimous,Mario Yamasaki,0,"September 04, 2013"
Yuri Villefort,Sean Spencer,0,0,69 of 171,99 of 281,40%,35%,70 of 173,100 of 282,1 of 7,0 of 0,14%,---,0,0,0,0,0:37,0:00,0,0,25 of 61,23 of 81,40%,28%,25 of 61,23 of 81,0 of 2,0 of 0,0%,---,0,0,0,0,0:13,0:00,69 of 171,99 of 281,40%,35%,32 of 122,89 of 266,12 of 24,7 of 12,25 of 25,3 of 3,66 of 165,90 of 268,3 of 6,8 of 12,0 of 0,1 of 1,25 of 61,23 of 81,40%,28%,12 of 44,23 of 77,6 of 10,0 of 4,7 of 7,0 of 0,23 of 58,21 of 77,2 of 3,2 of 4,0 of 0,0 of 0,Decision - Split,Neil Hall,0,"September 04, 2013"
Benson Henderson,Anthony Pettis,0,0,11 of 16,9 of 16,68%,56%,26 of 37,10 of 17,0 of 3,0 of 0,0%,---,0,1,0,0,3:09,0:00,0,0,11 of 16,9 of 16,68%,56%,26 of 37,10 of 17,0 of 3,0 of 0,0%,---,0,1,0,0,3:09,0:00,11 of 16,9 of 16,68%,56%,3 of 8,3 of 9,3 of 3,6 of 7,5 of 5,0 of 0,4 of 9,9 of 16,6 of 6,0 of 0,1 of 1,0 of 0,11 of 16,9 of 16,68%,56%,3 of 8,3 of 9,3 of 3,6 of 7,5 of 5,0 of 0,4 of 9,9 of 16,6 of 6,0 of 0,1 of 1,0 of 0,Submission,Herb Dean,0,"August 31, 2013"
Frank Mir,Josh Barnett,0,1,9 of 16,26 of 38,56%,68%,20 of 29,33 of 46,0 of 0,0 of 0,---,---,0,0,0,0,0:00,1:11,0,1,9 of 16,26 of 38,56%,68%,20 of 29,33 of 46,0 of 0,0 of 0,---,---,0,0,0,0,0:00,1:11,9 of 16,26 of 38,56%,68%,6 of 13,13 of 24,3 of 3,13 of 14,0 of 0,0 of 0,0 of 1,1 of 4,9 of 15,25 of 33,0 of 0,0 of 1,9 of 16,26 of 38,56%,68%,6 of 13,13 of 24,3 of 3,13 of 14,0 of 0,0 of 0,0 of 1,1 of 4,9 of 15,25 of 33,0 of 0,0 of 1,KO/TKO,Rob Hinds,0,"August 31, 2013"
Chad Mendes,Clay Guida,1,0,32 of 66,17 of 99,48%,17%,40 of 74,19 of 101,3 of 5,0 of 4,60%,0%,1,0,0,0,3:07,0:05,0,0,9 of 29,5 of 42,31%,11%,10 of 30,7 of 44,1 of 2,0 of 1,50%,0%,1,0,0,0,1:13,0:00,32 of 66,17 of 99,48%,17%,24 of 57,11 of 90,4 of 5,1 of 1,4 of 4,5 of 8,15 of 47,16 of 98,4 of 4,1 of 1,13 of 15,0 of 0,9 of 29,5 of 42,31%,11%,7 of 26,5 of 39,1 of 2,0 of 0,1 of 1,0 of 3,6 of 26,5 of 42,0 of 0,0 of 0,3 of 3,0 of 0,KO/TKO,Yves Lavigne,1,"August 31, 2013"
Ben Rothwell,Brandon Vera,1,0,56 of 103,41 of 63,54%,65%,60 of 107,47 of 69,0 of 0,0 of 1,---,0%,0,0,0,0,1:39,0:00,0,0,14 of 32,18 of 25,43%,72%,14 of 32,18 of 25,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,56 of 103,41 of 63,54%,65%,40 of 85,12 of 33,10 of 11,18 of 19,6 of 7,11 of 11,35 of 75,29 of 49,21 of 26,12 of 14,0 of 2,0 of 0,14 of 32,18 of 25,43%,72%,10 of 28,7 of 14,1 of 1,5 of 5,3 of 3,6 of 6,14 of 32,18 of 25,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,Herb Dean,1,"August 31, 2013"
Erik Koch,Dustin Poirier,0,2,32 of 74,54 of 92,43%,58%,50 of 93,74 of 112,0 of 0,2 of 6,---,33%,5,2,0,0,3:29,7:31,0,2,8 of 15,27 of 44,53%,61%,9 of 16,35 of 52,0 of 0,1 of 1,---,100%,2,1,0,0,0:14,3:28,32 of 74,54 of 92,43%,58%,17 of 58,40 of 72,12 of 12,9 of 12,3 of 4,5 of 8,13 of 53,19 of 49,13 of 14,13 of 16,6 of 7,22 of 27,8 of 15,27 of 44,53%,61%,2 of 9,22 of 37,4 of 4,2 of 2,2 of 2,3 of 5,4 of 11,8 of 19,4 of 4,2 of 3,0 of 0,17 of 22,Decision - Unanimous,Rob Hinds,0,"August 31, 2013"
Jamie Varner,Gleison Tibau,0,0,37 of 76,26 of 55,48%,47%,63 of 104,55 of 84,1 of 3,2 of 4,33%,50%,1,0,0,0,1:56,5:40,0,0,10 of 22,7 of 21,45%,33%,13 of 25,8 of 22,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,1:05,37 of 76,26 of 55,48%,47%,28 of 62,23 of 48,7 of 11,2 of 6,2 of 3,1 of 1,21 of 52,9 of 34,1 of 1,2 of 3,15 of 23,15 of 18,10 of 22,7 of 21,45%,33%,6 of 16,6 of 20,2 of 3,0 of 0,2 of 3,1 of 1,10 of 22,3 of 16,0 of 0,2 of 2,0 of 0,2 of 3,Decision - Split,Yves Lavigne,0,"August 31, 2013"
Louis Gaudinot,Tim Elliott,0,0,28 of 78,116 of 200,35%,58%,41 of 95,270 of 386,0 of 0,6 of 6,---,100%,0,2,0,0,0:14,9:08,0,0,13 of 35,40 of 70,37%,57%,19 of 43,85 of 120,0 of 0,3 of 3,---,100%,0,1,0,0,0:14,2:28,28 of 78,116 of 200,35%,58%,12 of 56,76 of 150,6 of 8,26 of 34,10 of 14,14 of 16,23 of 69,34 of 74,5 of 9,20 of 22,0 of 0,62 of 104,13 of 35,40 of 70,37%,57%,5 of 25,20 of 48,1 of 2,15 of 16,7 of 8,5 of 6,12 of 33,21 of 34,1 of 2,8 of 10,0 of 0,11 of 26,Decision - Unanimous,Herb Dean,0,"August 31, 2013"
Pascal Krauss,Hyun Gyu Lim,0,2,21 of 59,26 of 75,35%,34%,21 of 59,26 of 75,0 of 1,1 of 1,0%,100%,0,0,0,0,0:00,0:13,0,2,21 of 59,26 of 75,35%,34%,21 of 59,26 of 75,0 of 1,1 of 1,0%,100%,0,0,0,0,0:00,0:13,21 of 59,26 of 75,35%,34%,13 of 50,24 of 71,1 of 1,2 of 3,7 of 8,0 of 1,21 of 59,15 of 62,0 of 0,3 of 3,0 of 0,8 of 10,21 of 59,26 of 75,35%,34%,13 of 50,24 of 71,1 of 1,2 of 3,7 of 8,0 of 1,21 of 59,15 of 62,0 of 0,3 of 3,0 of 0,8 of 10,KO/TKO,Rob Hinds,0,"August 31, 2013"
Chico Camus,Kyung Ho Kang,0,0,28 of 69,18 of 70,40%,25%,68 of 110,117 of 173,0 of 1,3 of 3,0%,100%,1,0,2,1,2:28,9:18,0,0,6 of 19,9 of 30,31%,30%,17 of 30,22 of 44,0 of 0,1 of 1,---,100%,0,0,1,0,0:05,3:31,28 of 69,18 of 70,40%,25%,27 of 68,14 of 61,0 of 0,4 of 9,1 of 1,0 of 0,9 of 30,4 of 37,4 of 5,0 of 3,15 of 34,14 of 30,6 of 19,9 of 30,31%,30%,5 of 18,6 of 24,0 of 0,3 of 6,1 of 1,0 of 0,4 of 14,3 of 13,1 of 1,0 of 0,1 of 4,6 of 17,Decision - Unanimous,Yves Lavigne,1,"August 31, 2013"
Soa Palelei,Nikita Krylov,0,0,29 of 42,45 of 68,69%,66%,107 of 128,98 of 123,4 of 4,0 of 1,100%,0%,0,2,0,0,7:36,2:17,0,0,15 of 21,8 of 12,71%,66%,28 of 34,31 of 37,2 of 2,0 of 0,100%,---,0,2,0,0,4:27,0:14,29 of 42,45 of 68,69%,66%,26 of 39,37 of 59,2 of 2,6 of 7,1 of 1,2 of 2,4 of 6,6 of 17,7 of 12,39 of 51,18 of 24,0 of 0,15 of 21,8 of 12,71%,66%,14 of 20,3 of 7,0 of 0,4 of 4,1 of 1,1 of 1,0 of 0,1 of 2,2 of 2,7 of 10,13 of 19,0 of 0,KO/TKO,Al Wichgers,1,"August 31, 2013"
